fiscal_year	system_name	times_more_likley_white_black	upper_bound_white_black	lower_bound_white_black	times_more_likley_white_minority	upper_bound_white_minority	lower_bound_white_minority
2013	Atlanta Public Schools	5.653787924	5.94663838	5.375359294	5.223963184	5.479120206	4.980688564
2013	Buford City	3.916537967	5.584702915	2.746658126	3.766192762	4.592792248	3.088362623
2013	Cherokee County	2.712804648	3.150320301	2.336051053	2.320985246	2.49891275	2.15572653
2013	Clayton County	1.692991243	2.000344999	1.432862507	1.531581999	1.805917794	1.298920377
2013	Cobb County	3.838715993	4.004023094	3.680233637	2.783985674	2.86528015	2.704997706
2013	Decatur City	3.395086914	4.189290937	2.751447757	2.309165621	2.67797421	1.991149072
2013	DeKalb County	5.05981646	5.230563596	4.894643214	4.792170463	4.940125167	4.648646941
2013	Douglas County	2.487338738	2.648257297	2.336198225	2.319055611	2.451784776	2.193511837
2013	Fayette County	2.663166782	2.912306472	2.435340297	1.961289233	2.083987181	1.845815315
2013	Forsyth County	2.534623776	3.128655729	2.053379548	1.216244614	1.278526526	1.156996692
2013	Fulton County	4.13150519	4.288805512	3.979974164	2.399623225	2.461258016	2.339531891
2013	Gwinnett County	3.095122735	3.197579123	2.99594924	2.288314355	2.339125593	2.238606855
2013	Henry County	2.185550944	2.311156518	2.066771719	1.943353888	2.041757087	1.849693265
2013	Marietta City	5.901472204	6.940865995	5.017727499	5.554980243	6.309051866	4.891036902
2013	Rockdale County	2.375590821	2.619372701	2.154497428	2.306089324	2.52790892	2.103734009
